Código,Asignatura,CB01,CB02,CB03,CB04,CB05,CG01,CG02,CE01,CE02,CE03,CE04,CE05,CE06,CE07,CE08,CE09,CE10,CE11,CE12,CE13,CE14,CE15,CE16,CE17,CE18,CE19,CMAC01,CMAC02,CMAC03,CMAC04,CMIA01,CMIA02,CMIA03,CMIA04,CT01,CT02,CT03,CT04,CT05,CT06,COP01,COP02,COP03,COP04,COP05,COP06,COP07,COP08,COP09,COP10,COP11,COP12,COP13,COP14
20006,Programación Lógica,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,
20007,Programación Funcional,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,
20008,Percepción Computacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,
20009,Procesamiento de Lenguaje Natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,,,,
20010,Administración de sistemas,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
20011,Doctrina Social de la Iglesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,
20012,Prácticas externas,,X,,X,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20013,Trabajo Fin de Grado,X,X,X,X,X,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19989,Sistemas Dinámicos,X,X,X,X,X,X,,,X,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
19991,Análisis Funcional,X,X,X,X,X,X,,,X,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19992,Topología,X,X,X,X,X,X,,,,,X,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
19990,Variable Compleja y Análisis de Fourier,X,X,X,X,X,X,,,X,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
20016,Computación Cuántica,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
20017,Aprendizaje profundo,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,,,,X,X,X,X,,,,,,,,,,,,X,,,,,,,,
20018,Procesos Estocásticos,,,,,,,,,,X,X,,,,,X,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,
20014,Criptografía y Blockchain,,,,,,,,,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
20019,Teoría de la señal,,,,,,,,,,X,,X,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
20015,Ingeniería del Software,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
20021,Ética y Deontología,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,
20020,Grandes libros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X
